province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW,
Nederland,16730348,8282871,8447477,5.5,5.8,6,6,6.3,26.2,28,12.1,4.1,79.1,20.9,9.3,11.6,10.5,8.4,44661,38371,14477,6333,36971,169302,182430,59563,33180,30.9,38.7,22.6,1577460,1519880,47550,47550
Groningen,580875,288754,292121,4.9,5.1,5.5,6.2,8.8,25.5,27.4,12.3,4.3,86.5,13.5,7.4,6.1,9.6,9.4,1763,1529,523,217,1428,5140,6332,2998,2154,27.9,33.9,21.4,64030,63210,820,820
Friesland,647214,323495,323719,5.4,6,6.4,6.2,5.8,24.3,28.2,13.3,4.4,91.3,8.7,5,3.7,10,9.1,1917,1706,582,216,1461,7120,8397,2189,341,27.2,33.8,19.9,62220,61600,620,620
Drenthe,490807,243134,247673,5.1,5.9,6.4,5.9,4.6,23.2,29.9,14.2,4.8,91,9,5.6,3.4,9,9.9,1563,1341,466,207,1263,5379,6045,1023,173,28.2,35.6,20.2,49860,49390,470,470
Overijssel,1137668,568764,568904,5.8,6.3,6.5,6.1,6.2,25.9,27,12.1,4.1,85.6,14.4,7,7.4,10.9,8.3,3039,2552,1076,452,2302,12344,15068,4301,1197,28,35.3,20.1,108440,105780,2660,2660
Flevoland,395525,197783,197742,6.7,7.1,7.2,6.8,6.4,28,27.3,8.1,2.4,72.3,27.7,8.5,19.3,12.6,5.6,771,557,235,124,526,4595,5512,1129,245,30.9,38.6,22.8,39650,38520,1130,1130
Gelderland,2010745,992668,1018077,5.3,6,6.4,6.2,6,24.8,28.5,12.5,4.2,85.6,14.4,7.7,6.7,9.9,8.6,5538,4753,1812,801,4431,21924,23206,6632,3540,29.8,37.7,21.4,175090,171330,3760,3760
Utrecht,1237117,605032,632085,6.2,6.3,6.1,5.9,6.8,28,26.4,10.6,3.7,79.4,20.6,8.5,12.1,12,7.2,2838,2340,915,456,2384,12071,11253,4878,3475,34.6,43.3,25.6,99350,95840,3510,3510
Noord-Holland,2709822,1333811,1376011,5.7,5.7,5.7,5.6,6.2,28.1,27.6,11.4,4,71.3,28.7,11.3,17.3,11,8.1,6839,5786,2073,1167,6253,24955,26010,8469,6920,33.3,41.2,25.2,262050,251290,10760,10760
Zuid-Holland ,3552407,1753393,1799014,5.8,5.7,5.9,6,6.6,27.3,27.2,11.4,4.2,71.1,28.9,10.2,18.7,11.5,8.3,9203,7832,3068,1224,8084,34881,37205,11072,7895,32.3,40.5,23.6,324060,308250,15810,15810
Zeeland,381407,189181,192226,5,5.6,6.2,5.9,5,23.5,29,14.5,5.4,84.1,15.9,11,4.9,9.5,9.8,1186,1099,300,134,1034,4216,4477,843,89,29,37.4,19.8,28350,27760,580,580
Noord-Brabant,2463686,1229968,1233718,5.2,5.6,6.1,6,6,25.5,28.8,12.8,3.9,83.5,16.5,8.4,8.1,9.7,8.3,6602,5666,2153,893,5142,25657,25850,9573,3573,30.4,38.7,21.4,212740,207640,5110,5110
Limburg,1123075,556888,566187,4.3,4.8,5.5,5.7,6,23.2,31.3,14.6,4.6,79.7,20.3,14.5,5.8,8.1,9.8,3402,3210,1274,442,2663,10693,11566,3753,2137,28.1,35.2,20.5,122810,120510,2300,2300
